field	datatype	register	cardinality	text
accounts-last-made-up-date	string		1	The date a company last made up its accounts to.
address	string	address	1	A place in the UK with a postal address.
area	string		1	The administrative area of an address.
cardinality	string		1	Number of elements of the set (1 or n).
citizen-names	string		1	Name for the citzens of a country.
company	string	company	1	A UK registered company.
company-account-category	string		1	The category of account of a UK company.
company-status	string		1	The status of a UK company.
company-type	string		1	The type of a UK company.
copyright	text		1	Copyright for the data in the register.
country	string	country	1	ISO 3166-2 two letter code for a country.
crest	url		1	Official crest for a government body.
datatype	string	datatype	1	The data type for constraining a field value.
end-date	date-time		1	End datetime for the applicability of a register entry.
field	string	field	1	Field name of register entry.
fields	string	field	n	Set of field names.
gender	string		1	Gender.
headteacher	string		1	Headteacher of school.
latitude	decimal-degrees		1	Latitude of a place.
locality	string		1	The area within a post town.
longitude	decimal-degrees		1	Longitude of a place.
maximum-age	integer		1	Maximum intake age for pupils at a school.
minimum-age	integer		1	Minimum intake age for pupils at a school.
name	string		1	Name of field
official-name	string		1	Official name of country
official-colour	colour		1	Official colour for a public body.
parent-bodies	string		n	Parent bodies.
post-town	string	post-town	1	A required part of postal addresses in the UK encompassing one or more postal districts.
postcode	string	postcode	1	UK Postcodes.
property	string	property	1	A building, institution or house name in an address.
public-body	string	public-body	1	A UK governmental body.
public-body-type	string		1	Type of government body.
register	string	register	1	A register name.
registry	string	public-body	1	Organisation responsible for the data in the register.
religious-character	string		1	Religious character of school as declared by the school.
school	string	school	1	A school in the UK.
start-date	date-time		1	Start datetime for the applicability of a register entry.
street	string		1	The number and street name of an address.
text	text		1	Description of register entry.
town	string		1	The town of an address.
website	url		1	Website for register entry.
government-domain	string	government-domain	1	A domain
owner	string		1	An owner of government domain
